Agency ID,Agency Name
OSTP,OFFICE OF SCIENCE AND TECHNOLOGY POLICY
OSC,OFFICE OF SPECIAL COUNSEL
FR,OFFICE OF FEDERAL REGISTER
OST,OFFICE OF THE SPECIAL TRUSTEE FOR AMERICAN INDIANS
OPIC,OVERSEAS PRIVATE INVESTMENT CORPORATION
OTS,OFFICE OF THRIFT SUPERVISION
PACIFIC,PACIFIC NORTHWEST ELECTRIC POWER AND CONSERVATION PLANNING COUNCIL
PC,PEACE CORPS
PRC,POSTAL REGULATORY COMMISSION
PRES,PRESIDENTIAL DOCUMENTS
USPS,POSTAL SERVICE
PT,PRESIDIO TRUST
PHS,PUBLIC HEALTH SERVICE
RRB,RAILROAD RETIREMENT BOARD
RATB,RECOVERY ACCOUNTABILITY AND TRANSPARENCY BOARD
RISC,REGULATORY INFORMATION SERVICE CENTER
RUF,REAGAN-UDALL FOUNDATION
SS,SECRET SERVICE
SEC,SECURITIES AND EXCHANGE COMMISSION
SSS,SELECTIVE SERVICE SYSTEM
SIGAR,SPECIAL INSPECTOR GENERAL FOR AFGHANISTAN RECONSTRUCTION
SIGIR,SPECIAL INSPECTOR GENERAL FOR IRAQ RECONSTRUCTION
SJI,STATE JUSTICE INSTITUTE
STB,SURFACE TRANSPORTATION BOARD
SRBC,SUSQUEHANNA RIVER BASIN COMMISSION
TVA,TENNESSEE VALLEY AUTHORITY
TRADE,TRADE AND DEVELOPMENT AGENCY
USCC,U.S. CHINA ECONOMIC AND SECURITY REVIEW COMMISSION
MEXICO,U.S. INTERNATIONAL BOUNDARY AND WATER COMMISSION
USUHS,UNIFORMED SERVICES UNIVERSITY OF THE HEALTH SCIENCES
USIP,UNITED STATES INSTITUTE OF PEACE
USSC,UNITED STATES SENTENCING COMMISSION
URMCC,UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION
VCNP,VALLES CALDERA TRUST
