number,citation,signing_date,document_number,notes
12936, 59 FR 59075,1994-11-10,94-28430,"Amends: EO 12473, April 13, 1984
See: EO 12484, July 13, 1984; EO 12550, February 19, 1986; EO 12586, March 3, 1987; EO 12708, March 23, 1990; EO 12767, June 27, 1991; EO 12888, December 23, 1993; EO 12960, May 12, 1995; EO 13086, May 27, 1998; EO 13140, October 6, 1999"
12937, 59 FR 59097,1994-11-10,94-28431,
12938, 59 FR 59099,1994-11-14,94-28487,
12939, 59 FR 61231,1994-11-22,94-29541,"Revokes: EO 12735, November 16, 1990; EO 12930, September 29, 1994
Amended by: EO 13094, July 28, 1998; EO 13128, June 25, 1999; EO 13382, June 28, 2005
See: Notice of November 8, 1995; Notice of November 12, 1996; Notice of November 12, 1997; Notice of November 12, 1998; Notice of November 10, 1999; Notice of November 9, 2000; EO 13159, June 21, 2000; EO 13206, April 4, 2001; Notice of November 9, 2001; Notice of November 6, 2002; Notice of October 29, 2003; Notice of November 4, 2004; Notice of October 25, 2005; Notice of October 27, 2006; Notice of November 8, 2007; Notice of November 10, 2008; Notice of November 6, 2009"
12940, 59 FR 61519,1994-11-28,94-29663,"Supersedes: EO 12300, March 23, 1981"
12941, 59 FR 62545,1994-12-01,94-30035,
12942, 59 FR 64551,1994-12-12,94-30997,
12943, 59 FR 64553,1994-12-13,94-30998,"Amends: EO 11755, December 29, 1973"
12944,,1994-12-28,94-32388,"Supersedes: EO 12826 of December 30, 1992; EO 12886 of December 13, 1993
Superseded by: EO 12984 of December 28, 1995
Executive Order 12945 
Amendment to Executive Order No. 12640
Signed: January 20, 1995
Federal Register page and date: 60 FR 4527; January 24, 1995
Amends: EO 12640, May 10, 1988"
12945,,1995-01-20,95-1877,
12946,,1995-01-20,95-1925,"Revoked by: EO 13062, September 29, 1997"
12947,,1995-01-23,X95-110125,"Amended by: EO 13099, August 20, 1998; EO 13371, February 16, 2005
Continued by: Notice of January 18, 1996; Notice of January 21, 1997; Notice of January 21, 1998; Notice of January 19, 2000
See: Notice of January 3, 1996; Notice of January 19, 2001; Notice of January 18, 2002; Notice of January 20, 2003; Notice of January 16, 2004; January 17, 2005; Notice of January 18, 2006; Notice of January 18, 2007; Notice of January 18, 2008; Notice of January 15, 2009; Notice of January 20, 2010"
12948,,1995-01-30,95-2687,"Amends: EO 12898, February 11, 1994"
12949,,1995-02-09,95-3671,"Amended by: EO 13475, October 7, 2008"
12950,,1995-02-22,95-4908,"Amended by: EO 12952, February 24, 1995"
12951,,1995-02-22,95-5050,
12952,,1995-02-24,95-5129,"Amends: EO 12950, February 22, 1995"
12953,,1995-02-27,95-5146,
12954,,1995-03-08,95-6121,
12955,,1995-03-09,95-6211,"Supersedes: EO 12903, March 9, 1994"
12956,,1995-03-13,95-6588,
12957,,1995-03-15,95-6849,"Revoked in part and supplemented by: EO 12959, May 6, 1995
Revoked in part by: EO 13059, August 19, 1997
See: Notice of March 8, 1996; Notice of March 5, 1997; Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 13, 2002; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13553, September 28, 2010; EO 13574, May 23, 2011; EO 13590, November 20, 2011"
12958,,1995-04-17,95-9941,"Revokes: EO 12356, April 6, 1982
Amended by: EO 12972, September 18, 1995; EO 13142, November 19, 1999; EO 13292, March 25, 2003
Revoked by: EO 13526, December 29, 2009
See: Order of October 13, 1995; Order of February 27, 1996; Order of February 26, 1997; Final rule of July 1, 1997 (62 FR 36984); EO 13231, October 16, 2001; Military order of November 13, 2001 (66 FR 57833); Order of December 10, 2001 (66 FR 64347); EO 13284, January 23, 2003; EO 13311, July 29, 2003; Order of September 17, 2003 (68 FR 55257); EO 13329, February 24, 2004; EO 13354, August 27, 2004; EO 13356, August 27, 2004; Order of April 21, 2005; EO 13387, October 14, 2005; EO 13388, October 25, 2005; EO 13462, February 29, 2008; EO 13467, June 30, 2008; EO 13470, July 30, 2008; EO 13516, October 28, 2009"
12959,,1995-05-06,95-11694,"Revokes in part and supplements: EO 12613, October 29, 1987;EO 12957, March 15, 1995
Revoked in part by: EO 13059, August 19, 1997
See: Notice of March 8, 1996; Notice of March 5, 1997; Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 13, 2002; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010"
12960,,1995-05-12,95-12285,
12961,,1995-05-26,95-13484,
12962,,1995-06-07,95-14407,"Amended by: EO 13474, September 26, 2008 "
12963,,1995-06-14,95-14983,"Amended by: EO 13009, June 14, 1996"
12964,,1995-06-21,95-15760,"Amended by: EO 12987, January 31, 1996; EO 13032, December 26, 1996
Revoked by: EO 13062, September 29, 1997"
12965,,1995-06-27,95-16320,"Amends: EO 12852, June 29, 1993
Note: EO 12965 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999."
12966,,1995-07-14,95-17828,
12967,,1995-07-31,95-19174,
12968,,1995-08-02,95-19654,"Amended by: EO 13467, June 30, 2008
See: Final rule of March 26, 1997 (62 FR 17683); Final rule of July 1, 1997 (62 FR 36984); EO 13284, January 23, 2003; EO 13311, July 29, 2003; EO 13462, February 29, 2008; EO 13516, October 28, 2009; EO 13539, April 21, 2010; EO 13549, August 18, 2010"
12969,,1995-08-08,95-19972,"Revoked by: EO 13148, April 21, 2000
See: EO 13101, September 14, 1998"
12970,,1995-09-14,95-23338,"Amends: EO 12864, September 15, 1993
Revoked by: EO 13062, September 29, 1997"
12971,,1995-09-15,95-23423,"Amends: EO 12425, June 6, 1983"
12972,,1995-09-18,95-23581,"Amends: EO 12958, April 17, 1995"
12973,,1995-09-27,95-24649,"Amends: EO 12901, March 3, 1994"
12974,,1995-09-29,95-24754,"Continues certain committee established by: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, October 24, 1964; EO 11776, March 28, 1974; EO 12131, May 4, 1979; EO 12196, February 26, 1980; EO 12216, June 18, 1980; EO 12345, February 2, 1982; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12871, October 1, 1993; EO 12876, November 1, 1993; EO 12882, November 23, 1993; EO 12900, February 22, 1994; EO 12905, March 25, 1994
Revokes in part: EO 12844, April 21, 1993
Supersedes: EO 12869, September 30, 1993
Revokes: EO 12878, November 5, 1993
Superseded by: EO 13062, September 29, 1997
See: EO 12887, December 23, 1993; EO 12912, April 29, 1994"
12975,,1995-10-03,95-24921,"Amended by: EO 13018, September 16, 1996; EO 13046, May 16, 1997; EO 13137, September 15, 1999
Revoked by: EO 13316, September 17, 2003"
12976,,1995-10-05,95-25256,
12977,,1995-10-19,95-26497,"Amends: EO 13286, February 28, 2003"
12978,,1995-10-21,95-26569,"Amended by: EO 13286, February 28, 2003
See: Notice of October 16, 1996; Notice of October 17, 1997; Notice of October 19, 1998; Notice of October 19, 1999; Notice of October 19, 2000; Notice of October 16, 2001; Notice of October 16, 2002; Notice of October 16, 2003; Notice of October 19, 2004; Notice of October 19, 2005; Notice of October 19, 2006; Notice of October 18, 2007; Notice of October 16, 2008; Notice of October 16, 2009"
12979,,1995-10-25,95-26944,
12980,,1995-11-17,95-28630,"Amends: EO 12852, June 29, 1993
Note: EO 12980 is nullified by virtue of the Council being abolished by EO 13138, September 30, 1999."
12981,,1995-12-05,95-30106,"Amended by: EO 13020, October 12, 1996; EO 13026, November 15, 1996
See: EO 11533, June 4, 1970; EO 12002, July 7, 1977; EO 12924, August 19, 1994; EO 13206, April 4, 2001"
12982,,1995-12-08,95-30451,"Amends: EO 13286, February 28, 2003
See: Department of Defense notice of February 11, 1997 (62 FR 6953)"
