pai_identifier,agency_name,agency_count,agency_names,agency_slug
GAO,Government Accountability Office,3,"['Government Accountability Office', 'General Accounting Office', 'Privacy Act Rules']",government-accountability-office
GSA,General Services Administration,1,['General Services Administration'],general-services-administration
HHS,Department of Health and Human Services,1,['Department of Health and Human Services'],health-and-human-services-department
HUD,Department of Housing and Urban Development,1,['Department of Housing and Urban Development'],housing-and-urban-development-department
IAF,Inter-American Foundation,1,['Inter-American Foundation'],inter-american-foundation
IBWCUS,"International Boundary and Water Commission, United States and Mexico",1,"['International Boundary and Water Commission, United States and Mexico']",international-boundary-and-water-commission-united-states-and-mexico
ICC,Interstate Commerce Commission,1,['Interstate Commerce Commission'],interstate-commerce-commission
IDCA,International Development Cooperation Agency,1,['International Development Cooperation Agency'],international-development-cooperation-agency
INTERGOV,Advisory Commission on Intergovernmental Relations,1,['Advisory Commission on Intergovernmental Relations'],intergovernmental-relations-advisory-commission
ITC,International Trade Commission,1,['International Trade Commission'],international-trade-commission
JAPAN,Japan-United States Friendship Commission,1,['Japan-United States Friendship Commission'],japan-united-states-friendship-commission
JBEA,Joint Board for the Enrollment of Actuaries,1,['Joint Board for the Enrollment of Actuaries'],joint-board-for-enrollment-of-actuaries
JUSTICE,Department of Justice,1,['Department of Justice'],justice-department
MCC,Millennium Challenge Corporation ,1,['Millennium Challenge Corporation '],millennium-challenge-corporation
MMC,Marine Mammal Commission,1,['Marine Mammal Commission'],marine-mammal-commission
MSPB,Merit Systems Protection Board,2,"['Merit Systems Protection Board', 'Merit System Protection Board']",merit-systems-protection-board
NARA,National Archives and Records Administration,1,['National Archives and Records Administration'],national-archives-and-records-administration
NASA,National Aeronautics and Space Administration,1,['National Aeronautics and Space Administration'],national-aeronautics-and-space-administration
NCLIS,National Commission on Libraries and Information Science,1,['National Commission on Libraries and Information Science'],national-commission-on-libraries-and-information-science
NCMNPS," National Commission on Military, National, and Public Service ",1,"[' National Commission on Military, National, and Public Service ']",national-commission-on-military-national-and-public-service
NCPC,National Capital Planning Commission,1,['National Capital Planning Commission'],national-capital-planning-commission
NCUA,National Counterintelligence Center,2,"['National Counterintelligence Center', 'National Credit Union Administration']",national-counterintelligence-center
NDRG,Office of National Drug Control Policy Office,1,['Office of National Drug Control Policy Office'],office-of-national-drug-control-policy
NFAH,National Foundation on the Arts and Humanities,3,"['National Foundation on the Arts and Humanities', 'NATIONAL FOUNDATION ON THE ARTS AND THE HUMANITIES', 'National Foundation on the Art and the Humanities']",national-foundation-on-the-arts-and-the-humanities
NGA,National Geospatial-Intelligence Agency,2,"['National Geospatial-Intelligence Agency', 'Department of Defense, National Geospatial-Intelligence Agency']",national-geospatial-intelligence-agency
NIGC,National Indian Gaming Commission,1,['National Indian Gaming Commission'],national-indian-gaming-commission
NLRB,National Labor Relations Board,1,['National Labor Relations Board'],national-labor-relations-board
NRC,Nuclear Regulatory Commission,1,['Nuclear Regulatory Commission'],nuclear-regulatory-commission
NSC,National Security Council,1,['National Security Council'],national-security-council
NSF,National Science Foundation,1,['National Science Foundation'],national-science-foundation
NTSB,National Transportation Safety Board,1,['National Transportation Safety Board'],national-transportation-safety-board
NWTRB,U.S. Nuclear Waste Technical Review Board,2,"['U.S. Nuclear Waste Technical Review Board', 'Nuclear Waste Technical Review Board']",nuclear-waste-technical-review-board
ODNI,Office of the Director of National Intelligence,2,"['Office of the Director of National Intelligence', ' Office of the Director of National Intelligence ']",national-intelligence-office-of-the-national-director
OGE,Office of Government Ethics,1,['Office of Government Ethics'],government-ethics-office
OMB,Office of Management and Budget,1,['Office of Management and Budget'],management-and-budget-office
ONHIR,Office of Navajo and Hopi Indian Relocation,1,['Office of Navajo and Hopi Indian Relocation'],navajo-and-hopi-indian-relocation-office
OPIC,Overseas Private Investment Corporation ,3,"['Overseas Private Investment Corporation ', 'Overseas Private Investment Corporation', ' Overseas Private Investment Corporation ']",overseas-private-investment-corporation
OPM,Office of Personnel Management,2,"['Office of Personnel Management', 'Personnel Management Office']",personnel-management-office
OSC,Office of Special Counsel,2,"['Office of Special Counsel', 'U.S. Office of Special Counsel']",special-counsel-office
OSHRC,Occupational Safety and Health Review Commission,1,['Occupational Safety and Health Review Commission'],occupational-safety-and-health-review-commission
OSTR,Office of the United States Trade Representative,1,['Office of the United States Trade Representative'],trade-representative-office-of-united-states
PANAMA,Panama Canal Commission,1,['Panama Canal Commission'],panama-canal-commission
PBGC,Pension Benefit Guaranty Corporation,2,"['Pension Benefit Guaranty Corporation', ' Pension Benefit Guaranty Corporation ']",pension-benefit-guaranty-corporation
PC,Peace Corps,1,['Peace Corps'],peace-corps
PCLOB,Privacy and Civil Liberties Oversight Board,1,['Privacy and Civil Liberties Oversight Board'],privacy-and-civil-liberties-oversight-board
PRC,Postal Regulatory Commission,3,"['Postal Regulatory Commission', 'Postal Rate Commission', 'Postal Rate Commission ']",postal-regulatory-commission
PT,Presidio Trust,1,['Presidio Trust'],presidio-trust
RATB,Recovery Accountability and Transparency Board,1,['Recovery Accountability and Transparency Board'],recovery-accountability-and-transparency-board
REGULATIONONLY,Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation,1,['Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation'],morris-k-udall-and-stewart-l-udall-foundation
RRB,Railroad Retirement Board,1,['Railroad Retirement Board'],railroad-retirement-board
RTC,Resolution Trust Corporation,1,['Resolution Trust Corporation'],resolution-trust-corporation
SBA,Small Business Administration,1,['Small Business Administration'],small-business-administration
SEC,Securities and Exchange Commission,1,['Securities and Exchange Commission'],securities-and-exchange-commission
SIGAR,Special Inspector General for Afghanistan Reconstruction,1,['Special Inspector General for Afghanistan Reconstruction'],special-inspector-general-for-afghanistan-reconstruction
SSA,Social Security Administration,1,['Social Security Administration'],social-security-administration
SSS,Selective Service System,1,['Selective Service System'],selective-service-system
STATE,State Department,2,"['State Department', 'Department of State']",state-department
THRIFT,Thrift Depositor Protection Oversight Board,1,['Thrift Depositor Protection Oversight Board'],thrift-depositor-protection-oversight-board
TREASURY,Department of the Treasury,1,['Department of the Treasury'],treasury-department
TSF,Harry S. Truman Scholarship Foundation,2,"['Harry S. Truman Scholarship Foundation', ' Harry S. Truman Scholarship Foundation ']",harry-s-truman-scholarship-foundation
TVA,Tennessee Valley Authority,2,"['Tennessee Valley Authority', 'Tennessee Valley Administration']",tennessee-valley-authority
USAF,"Department of Defense, United States Air Force",3,"['Department of Defense, United States Air Force', 'Department of Defense, U.S. Air Force', 'Department of the Air Force']",air-force-department
USDA,Department of Agriculture,1,['Department of Agriculture'],agriculture-department
USN,Department of the Navy,3,"['Department of the Navy', 'Department of Defense, Department of the Navy', 'Navy ']",navy-department
USPS,United States Post Office,3,"['United States Post Office', 'Postal Service', 'United States Postal Service']",postal-service
USTDA,Trade and Development Agency,1,['Trade and Development Agency'],trade-and-development-agency
VA,Department of Veterans Affairs,2,"['Department of Veterans Affairs', 'Veterans Affairs Department']",veterans-affairs-department
